"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.515715405E2,6.505911466E1,2.546627634E1,3.296932429E1,8.384245573E-1,1.860324326E2,7.628321041E0,7.465183359E0
1.525715569E2,6.505911079E1,2.546627936E1,3.254993995E1,6.905211381E-1,1.822473094E2,7.612508190E0,7.406985749E0
1.535715740E2,6.505909535E1,2.546627337E1,3.190224025E1,9.195763762E-1,1.846067725E2,7.717553354E0,7.368473607E0
1.545715911E2,6.505908688E1,2.546627594E1,3.140545295E1,9.787058635E-1,1.802646331E2,7.856593606E0,7.588959379E0
1.555716074E2,6.505907099E1,2.546628044E1,3.145213077E1,1.146748971E0,1.774048794E2,7.945259422E0,7.786586289E0
1.565716243E2,6.505905895E1,2.546629131E1,3.101395201E1,1.097876438E0,1.757096776E2,7.924160270E0,7.954132310E0
1.575716412E2,6.505904753E1,2.546630433E1,3.065168253E1,1.083452673E0,1.721481009E2,7.965415827E0,8.032399243E0
1.585716569E2,6.505903475E1,2.546632209E1,3.039228751E1,1.026516758E0,1.687843602E2,7.980279140E0,8.117136909E0
1.595716743E2,6.505902688E1,2.546633532E1,3.024588572E1,9.133023077E-1,1.671177129E2,7.838234573E0,8.002077465E0
1.605716910E2,6.505901774E1,2.546634552E1,3.026776003E1,9.166758563E-1,1.677657578E2,7.704942906E0,7.834897234E0
1.615717074E2,6.505900315E1,2.546635246E1,3.011578792E1,1.017148610E0,1.708188908E2,7.610844861E0,7.682554862E0
1.625717241E2,6.505899273E1,2.546636356E1,2.973940738E1,9.425555849E-1,1.689005316E2,7.633545336E0,7.719671309E0
1.635717411E2,6.505898226E1,2.546637018E1,2.973433883E1,9.821919751E-1,1.695894694E2,7.593696193E0,7.575350269E0
1.645717566E2,6.505897394E1,2.546638178E1,2.988178809E1,8.801459783E-1,1.679728311E2,7.480546939E0,7.358084715E0
1.655717738E2,6.505896149E1,2.546639910E1,2.959817137E1,8.970014296E-1,1.593380121E2,7.458589548E0,7.275171694E0
1.665717902E2,6.505895580E1,2.546641290E1,2.940037900E1,7.607593339E-1,1.591059596E2,7.386422580E0,7.067874224E0
1.675718068E2,6.505894328E1,2.546642605E1,2.923450524E1,8.515102127E-1,1.600405482E2,7.405569268E0,7.218670646E0
1.685718232E2,6.505893353E1,2.546644194E1,2.920006584E1,9.062122909E-1,1.598002628E2,7.323239540E0,7.094580995E0
1.695718399E2,6.505893230E1,2.546645341E1,2.928323422E1,7.079369866E-1,1.564905087E2,7.239742141E0,6.959449247E0
1.705725720E2,6.505892997E1,2.546646659E1,2.909739727E1,5.129866608E-1,1.552027941E2,7.126591984E0,6.867502230E0
1.715722378E2,6.505892523E1,2.546647504E1,2.921377524E1,3.583616447E-1,1.552645753E2,7.092038349E0,6.762293802E0
1.725722072E2,6.505891382E1,2.546649393E1,2.883295625E1,5.730149494E-1,1.552645921E2,7.067229596E0,6.774962899E0
1.735724893E2,6.505890883E1,2.546650758E1,2.868627682E1,4.871165278E-1,1.552646040E2,7.034183112E0,6.648061521E0
1.745721189E2,6.505889853E1,2.546652958E1,2.853998129E1,7.056523513E-1,1.547573812E2,7.105203461E0,6.680637611E0
1.755720683E2,6.505889267E1,2.546654360E1,2.859841442E1,7.344163759E-1,1.578830797E2,7.061902618E0,6.910989887E0
1.765723433E2,6.505889398E1,2.546655657E1,2.882748950E1,4.226180307E-1,1.557715099E2,7.143278256E0,7.122380899E0
1.775719700E2,6.505889486E1,2.546656422E1,2.918707038E1,1.092647936E-1,1.557715168E2,7.016555332E0,6.983969773E0
1.785719123E2,6.505889688E1,2.546658417E1,2.915490110E1,7.381089072E-2,1.557715349E2,7.039532088E0,6.909448171E0
1.795721776E2,6.505889628E1,2.546659836E1,2.880327168E1,1.888594194E-1,1.557715478E2,7.027234898E0,6.943971656E0
1.805718014E2,6.505889444E1,2.546661288E1,2.901949211E1,2.393898949E-1,1.557715610E2,7.059813325E0,7.065604979E0
1.815717412E2,6.505888716E1,2.546663961E1,2.874409748E1,4.931557899E-1,1.557715852E2,7.269208864E0,7.361279653E0
1.825720050E2,6.505887423E1,2.546665475E1,2.908375090E1,7.234992680E-1,1.640828437E2,7.146357332E0,7.124644515E0
1.835716255E2,6.505887535E1,2.546666431E1,2.864609462E1,4.348109029E-1,1.572207439E2,7.035045241E0,6.715838964E0
1.845715656E2,6.505887743E1,2.546667886E1,2.891783097E1,3.555405481E-1,1.572207559E2,6.899380215E0,6.235990877E0
1.855715128E2,6.505888218E1,2.546668510E1,2.911354013E1,1.528153796E-1,1.572207607E2,6.974138439E0,5.878997598E0
1.865714632E2,6.505888222E1,2.546667593E1,2.918269034E1,1.450918201E-1,1.572207531E2,7.181723163E0,5.531216519E0
1.875714189E2,6.505888179E1,2.546667190E1,2.922966559E1,8.593287076E-2,1.572207497E2,7.568808385E0,5.047042508E0
1.885713768E2,6.505887688E1,2.546667571E1,2.941262426E1,7.218723378E-2,1.572207533E2,8.641512454E0,5.065002331E0
1.895713387E2,6.505887272E1,2.546669256E1,2.895571682E1,3.056258382E-1,1.572207676E2,9.935438739E0,5.084393433E0
1.905713021E2,6.505886962E1,2.546669014E1,2.922342201E1,3.395001016E-1,1.572207658E2,1.137733034E1,5.103850737E0
1.915712696E2,6.505885691E1,2.546669488E1,2.911931072E1,7.009658773E-1,1.572207707E2,1.318152913E1,5.119614814E0
1.925712395E2,6.505885045E1,2.546670299E1,2.904936593E1,7.614979576E-1,1.572207779E2,1.657869746E1,5.145240568E0
1.935712118E2,6.505884487E1,2.546670513E1,2.909514227E1,7.419317623E-1,1.572207801E2,2.029495154E1,5.166548918E0
1.945711858E2,6.505884267E1,2.546670561E1,2.912050707E1,7.170786096E-1,1.572207807E2,2.448775030E1,5.187622256E0
1.955711625E2,6.505884376E1,2.546670566E1,2.942582589E1,6.087771397E-1,1.572207807E2,2.907505433E1,5.208007527E0
1.965711412E2,6.505883869E1,2.546670337E1,2.923164205E1,6.168684974E-1,1.572207791E2,3.411209471E1,5.228926847E0
1.975711217E2,6.505883326E1,2.546670589E1,2.915285678E1,6.066562745E-1,1.572207816E2,3.573485060E1,5.246226701E0
1.987179275E2,6.505886472E1,2.546674325E1,2.087393457E1,2.215309143E-1,NaN,6.678562184E1,5.668556057E1
2.078247763E2,6.505884554E1,2.546739262E1,1.327000046E1,NaN,NaN,4.000000000E1,3.000000000E1
2.196404489E2,6.505883558E1,2.546730228E1,1.327000046E1,NaN,NaN,2.809075222E1,3.002297856E1
2.291448450E2,6.505883295E1,2.546764067E1,1.327000046E1,NaN,NaN,2.832237452E1,3.000919142E1
2.356087899E2,6.505883792E1,2.546787244E1,1.327000046E1,NaN,NaN,2.617886206E1,3.000367657E1
2.420704050E2,6.505879395E1,2.546808020E1,1.327000046E1,NaN,NaN,2.620841755E1,3.000147063E1
2.433003130E2,6.505878084E1,2.546823045E1,1.327000046E1,NaN,NaN,2.664736162E1,3.000058825E1
2.435711286E2,6.505877800E1,2.546822890E1,2.073964845E1,NaN,NaN,2.640413222E1,5.194864178E1
2.442223580E2,6.505877233E1,2.546825980E1,1.327000046E1,NaN,NaN,2.637011710E1,3.000023530E1
2.445711371E2,6.505874893E1,2.546825198E1,2.869948458E1,1.336647668E0,1.552675358E2,2.551071711E1,6.035796481E0
2.455711445E2,6.505875138E1,2.546831817E1,2.897601613E1,4.723583678E-1,1.526365538E2,2.408646269E1,6.198766433E0
2.465711529E2,6.505877453E1,2.546868916E1,3.081135975E1,1.538497100E0,7.972114186E1,1.893472509E1,6.140594566E0
2.475711601E2,6.505882346E1,2.546887108E1,3.061057140E1,8.791134731E-1,6.771859167E1,1.700703990E1,6.082254316E0
2.485711677E2,6.505881534E1,2.546880584E1,3.028290525E1,8.744772441E-1,8.998292110E1,1.260530751E1,5.972311051E0
2.495711757E2,6.505881044E1,2.546877024E1,3.048578575E1,5.160534090E-1,9.784211257E1,9.700803384E0,5.778766265E0
2.505711838E2,6.505880662E1,2.546877836E1,3.030283630E1,5.068758366E-1,9.853415088E1,8.564769036E0,5.592573590E0
2.515711915E2,6.505880504E1,2.546875692E1,3.023765028E1,4.752822260E-1,9.130129146E1,7.492778426E0,5.375130000E0
2.525712005E2,6.505881188E1,2.546872210E1,3.064249430E1,9.230967230E-1,9.302246669E1,6.067394180E0,5.081407715E0
2.535712082E2,6.505880622E1,2.546870911E1,3.103703616E1,8.205171284E-1,9.644015969E1,5.312757178E0,4.880260614E0
2.545712162E2,6.505880058E1,2.546870947E1,3.098858521E1,8.226376945E-1,1.008485290E2,5.067022837E0,4.873901564E0
2.555712243E2,6.505879803E1,2.546870203E1,3.072685091E1,7.802452138E-1,1.062496981E2,5.220778576E0,5.221088204E0
2.565712328E2,6.505879226E1,2.546870065E1,3.033782796E1,7.072816732E-1,1.071997322E2,5.297532866E0,5.467176156E0
2.575712408E2,6.505879019E1,2.546870900E1,3.078595878E1,7.488820553E-1,9.781477980E1,5.535431955E0,5.823461272E0
2.585712494E2,6.505878586E1,2.546872139E1,2.962761249E1,9.437959648E-1,9.448762195E1,5.672820848E0,6.084899698E0
2.595712574E2,6.505878444E1,2.546875627E1,3.062899626E1,1.010868509E0,9.400909013E1,5.804577962E0,6.303673175E0
2.605712658E2,6.505878009E1,2.546878785E1,3.065169941E1,1.084598474E0,9.635776825E1,5.811523797E0,6.334206959E0
2.615712748E2,6.505877574E1,2.546881389E1,3.123784521E1,1.102769240E0,9.828753855E1,5.754848972E0,6.225964711E0
2.625712833E2,6.505877755E1,2.546884256E1,3.182163500E1,1.173761904E0,9.181092769E1,5.892718954E0,6.341334671E0
2.635712918E2,6.505877508E1,2.546887215E1,3.252365976E1,1.171426785E0,9.555627411E1,5.931370972E0,6.384051970E0
2.645713010E2,6.505877519E1,2.546887979E1,3.414156036E1,8.123045049E-1,9.943361943E1,6.143660841E0,6.655063237E0
2.655713094E2,6.505877885E1,2.546891609E1,3.469500585E1,1.103637419E0,9.289975178E1,6.063507933E0,6.650445900E0
2.665713177E2,6.505877199E1,2.546893998E1,3.528760102E1,1.019485696E0,9.626070825E1,6.095448418E0,6.576975475E0
2.675713264E2,6.505877354E1,2.546896474E1,3.644075290E1,1.036232751E0,9.062353715E1,5.982253949E0,6.534931978E0
2.685713346E2,6.505877329E1,2.546899008E1,3.690574654E1,1.031385932E0,8.914059397E1,6.034909710E0,6.550926699E0
2.695713431E2,6.505877467E1,2.546900997E1,3.729320023E1,8.957200422E-1,8.840968674E1,6.083612330E0,6.608583555E0
2.705713526E2,6.505877979E1,2.546903911E1,3.731149842E1,9.493491413E-1,8.671055432E1,6.134761413E0,6.735757645E0
2.715713615E2,6.505877291E1,2.546907292E1,3.791627925E1,1.123899903E0,8.618706084E1,6.236442458E0,6.818728611E0
2.725713695E2,6.505876900E1,2.546910258E1,3.902153252E1,1.166746780E0,8.906293751E1,6.392990872E0,7.064773721E0
2.735713788E2,6.505876590E1,2.546913755E1,3.919641072E1,1.159520327E0,8.570228161E1,6.322781752E0,7.066910792E0
2.745713873E2,6.505876623E1,2.546916407E1,3.966668498E1,1.152221342E0,8.616320924E1,6.376373338E0,7.084352600E0
2.755713964E2,6.505876841E1,2.546918849E1,4.004860444E1,1.049072583E0,8.320804420E1,6.470820924E0,7.187086437E0
2.765714046E2,6.505877563E1,2.546921941E1,4.019689269E1,1.156821586E0,7.848455471E1,6.628518086E0,7.429327322E0
2.775714138E2,6.505877607E1,2.546925522E1,4.074273715E1,1.270781579E0,8.020475657E1,6.638752502E0,7.561543427E0
2.785714223E2,6.505877652E1,2.546927682E1,4.130462880E1,1.175186783E0,7.756637782E1,6.624809817E0,7.526599105E0
2.795714312E2,6.505877422E1,2.546929955E1,4.145856336E1,1.087635417E0,8.142751257E1,6.606429130E0,7.383310553E0
