"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.531302917E0,1.826545551E-1,1.270967751E0,-1.680010307E-1
2.541372917E0,1.319929996E-1,1.328385655E0,-6.603143692E-2
2.551442917E0,8.614786875E-2,1.250325910E0,-2.443054408E-1
2.561512917E0,6.512478959E-2,1.222914748E0,-2.317035216E-1
2.571582917E0,1.373796739E-1,1.277605803E0,6.753826439E-2
2.581652917E0,1.861310537E-1,1.340530614E0,3.524765915E-1
2.591722917E0,1.640088442E-1,1.281083727E0,2.101635486E-1
2.601792917E0,2.791745804E-1,1.136275677E0,-1.756655610E-1
2.611862916E0,5.118244008E-1,1.047091897E0,-3.455108035E-1
2.621931917E0,6.319685295E-1,9.121109703E-1,-4.658155113E-1
2.632001917E0,5.594210286E-1,7.313212019E-1,-4.850329703E-1
2.642071916E0,3.612139396E-1,6.635163045E-1,-3.618198574E-2
2.652141917E0,1.851796021E-1,6.849367020E-1,6.117509043E-1
2.662211917E0,2.227183246E-1,7.344816220E-1,1.034298189E0
2.672281916E0,-6.647187844E-4,9.423320121E-1,1.492848535E0
2.682351917E0,9.702533439E-2,1.109112729E0,2.353652235E0
2.692421917E0,3.846503474E-1,1.274100397E0,2.774775138E0
2.702491916E0,8.168871631E-1,1.302960499E0,2.440863456E0
2.712561917E0,1.307493261E0,1.167181720E0,1.947335066E0
2.722631917E0,1.637895736E0,9.110058466E-1,1.375863292E0
2.732701916E0,1.735864226E0,6.319732073E-1,6.433287925E-1
2.742771917E0,1.737442390E0,3.500646150E-1,-2.453491688E-3
2.752841917E0,1.687979769E0,-6.224945784E-3,-7.068394947E-1
2.762911916E0,1.620653759E0,-4.217517713E-1,-1.146764705E0
2.772981917E0,1.436505058E0,-7.872164905E-1,-1.078428295E0
2.783051917E0,1.158256895E0,-1.058642195E0,-6.766848189E-1
2.793121916E0,1.016103847E0,-8.869468930E-1,-1.730144334E-1
2.803191917E0,1.174178352E0,-5.035356072E-1,2.321683753E-1
2.813262291E0,1.368773981E0,-4.925624299E-1,3.442027813E-1
2.823331292E0,1.438080736E0,-6.140371656E-1,1.038980055E-1
2.833401292E0,1.353775142E0,-6.893270838E-1,-3.744293779E-1
2.843471291E0,1.233583724E0,-5.994457313E-1,-8.058492279E-1
2.853541292E0,1.098873450E0,-4.286912468E-1,-1.101530060E0
2.863611292E0,9.407137220E-1,-3.208022243E-1,-1.245198487E0
2.873681291E0,7.480869965E-1,-2.981612206E-1,-1.263196217E0
2.883751292E0,5.538606919E-1,-2.567404220E-1,-1.233066684E0
2.893821292E0,4.427394382E-1,-2.761575633E-1,-1.155261878E0
2.903891291E0,4.311084127E-1,-2.716394198E-1,-9.558203691E-1
2.913961292E0,4.826863365E-1,-2.347952369E-1,-7.895395893E-1
2.924031292E0,5.501761421E-1,-1.147665176E-1,-7.732843298E-1
2.934101291E0,6.407544096E-1,2.643935502E-2,-7.518963844E-1
2.944171292E0,6.704589229E-1,7.089953631E-2,-9.728006834E-1
2.954241292E0,6.457833074E-1,2.999270797E-2,-1.156261168E0
2.964311292E0,5.827309903E-1,-1.762935519E-2,-1.189712504E0
2.974381292E0,5.923720988E-1,1.787493825E-3,-1.153517069E0
2.984451292E0,6.447391409E-1,1.370499641E-2,-1.049479900E0
2.994521292E0,6.958518456E-1,-3.435005307E-2,-9.124802220E-1
3.004591292E0,7.028562983E-1,-2.124205738E-2,-8.211005205E-1
3.014661292E0,6.419676337E-1,9.799611837E-2,-6.993123740E-1
3.024730292E0,6.414304939E-1,2.945683989E-1,-5.397032672E-1
3.034800292E0,6.476418449E-1,4.695129982E-1,-4.649261498E-1
3.044870292E0,7.029082654E-1,5.891373825E-1,-3.991753793E-1
3.054940292E0,7.678853763E-1,7.308373448E-1,-3.281071508E-1
3.065010292E0,8.143522489E-1,8.125825891E-1,-3.249034613E-1
3.075080292E0,7.779588863E-1,7.853921592E-1,-4.074421728E-1
3.085150292E0,7.002044398E-1,7.557230946E-1,-5.521221685E-1
3.095220292E0,6.296379025E-1,7.472379076E-1,-5.668261617E-1
3.105290292E0,5.749926755E-1,7.230450529E-1,-4.949071634E-1
3.115360292E0,5.926953036E-1,7.657130626E-1,-4.535299265E-1
3.125430292E0,6.741912007E-1,8.126875466E-1,-3.691329700E-1
3.135500292E0,7.077567767E-1,9.040032211E-1,-2.220936227E-1
3.145570292E0,6.317635115E-1,8.791010991E-1,1.295216739E-2
3.155640292E0,4.985963179E-1,8.117341581E-1,8.560616076E-2
3.165710292E0,4.285690765E-1,7.749534175E-1,1.762906283E-1
3.175780292E0,3.890565533E-1,7.927146274E-1,3.872283483E-1
3.185850292E0,4.460461118E-1,9.247286770E-1,6.327769071E-1
3.195920292E0,5.393055469E-1,9.075910726E-1,8.326856089E-1
3.205990292E0,5.502859236E-1,7.455132714E-1,1.014094305E0
3.216060292E0,5.943313545E-1,8.272360039E-1,1.156490963E0
3.226130292E0,7.261085553E-1,1.125430554E0,1.121300665E0
3.236200292E0,8.943728569E-1,1.450865234E0,9.856838536E-1
3.246269291E0,9.618954800E-1,1.716369171E0,6.686688709E-1
3.256339292E0,9.250632839E-1,1.943839016E0,3.845842373E-1
3.266409292E0,7.770145610E-1,2.160319019E0,2.576669133E-1
3.276479291E0,4.835394087E-1,2.285489488E0,2.538469273E-1
3.286549292E0,6.791621380E-2,2.244991087E0,3.760689372E-1
3.296619292E0,-3.299415685E-1,2.036915287E0,7.167166114E-1
3.306689291E0,-6.918585628E-1,1.651660374E0,1.121889480E0
3.316759292E0,-8.649653091E-1,1.127298739E0,1.492608799E0
3.326829292E0,-7.862174937E-1,8.266492358E-1,1.804792812E0
3.336899291E0,-5.802833093E-1,8.247073755E-1,1.987197874E0
3.346969292E0,-1.343330553E-1,8.387816235E-1,1.830305969E0
3.357039292E0,5.116624695E-1,6.367243624E-1,1.340543770E0
3.367109291E0,8.039436203E-1,1.841144952E-1,5.834936500E-1
3.377179292E0,6.208814777E-1,-3.541272604E-1,-2.483973223E-1
3.387249292E0,7.640982078E-1,-5.893189386E-1,-9.808137077E-1
3.397319291E0,3.807274870E-1,-6.037522057E-1,-1.546344711E0
3.407389292E0,-1.505662781E-1,-7.745762721E-1,-1.420368789E0
3.417459292E0,-6.213803914E-1,-7.173022100E-1,-9.516817099E-1
3.427529291E0,-8.072815034E-1,-6.720906615E-1,-4.148248672E-1
3.437599292E0,-8.843996266E-1,-9.820062473E-1,2.189419734E-1
3.447669292E0,-8.477452590E-1,-1.252063411E0,7.345131969E-1
3.457739291E0,-5.679190794E-1,-1.096683595E0,1.028706497E0
3.467808292E0,-1.293138785E-1,-8.038889489E-1,9.749208838E-1
3.477878292E0,3.296608656E-1,-6.109895968E-1,6.425464350E-1
3.487948291E0,6.787015235E-1,-5.690764627E-1,1.127904510E-1
3.498018292E0,8.813443103E-1,-6.803036606E-1,-4.139349210E-1
3.508088292E0,8.938128398E-1,-7.714909887E-1,-8.520363843E-1
3.518158291E0,6.104010015E-1,-6.918846560E-1,-1.134853342E0
3.528228292E0,6.643588883E-1,-4.392934182E-1,-1.206140256E0
3.538298292E0,8.143612390E-1,2.862109736E-1,-1.577185265E0
3.548368292E0,8.564090053E-1,7.936759096E-1,-1.757585317E0
3.558438292E0,7.134123498E-1,8.502620468E-1,-1.610966384E0
3.568508292E0,5.755993241E-1,8.507853726E-1,-1.595303448E0
3.578578292E0,4.585360933E-1,9.016725209E-1,-1.627728013E0
3.588648292E0,1.677793481E-1,9.450828347E-1,-1.525399400E0
3.598718292E0,-1.221649995E-1,1.031118766E0,-1.282973254E0
3.608788292E0,-2.221515467E-1,1.052370471E0,-1.087154095E0
3.618858292E0,-1.670396022E-1,9.480467883E-1,-1.033942679E0
3.628928292E0,-1.104096841E-2,8.185195595E-1,-1.034351984E0
3.638998292E0,1.599190823E-1,7.682946083E-1,-1.024025216E0
3.649068292E0,1.919445382E-1,7.135959524E-1,-9.410970801E-1
3.659138292E0,1.952422948E-1,6.772514141E-1,-7.778018886E-1
3.669208292E0,2.515703504E-1,7.290828878E-1,-7.125609952E-1
3.679278292E0,3.822372381E-1,7.298085272E-1,-7.647760463E-1
3.689348292E0,4.445913976E-1,7.200296438E-1,-8.439005685E-1
3.699417292E0,4.142684681E-1,8.143496177E-1,-8.949186945E-1
3.709487292E0,2.666383328E-1,9.443115869E-1,-9.029533535E-1
3.719557292E0,1.260586604E-3,1.067277070E0,-7.402510697E-1
3.729627292E0,-1.966544339E-1,1.179567292E0,-5.885257638E-1
3.739697292E0,-3.164668793E-1,1.216379023E0,-4.728853798E-1
3.749767292E0,-3.721361730E-1,1.152669223E0,-4.145453703E-1
3.759837292E0,-4.006441633E-1,1.027273052E0,-3.518257964E-1
3.769907292E0,-4.366639253E-1,9.916295949E-1,-3.301723874E-1
3.779977292E0,-5.174004884E-1,9.940728539E-1,-2.711663800E-1
3.790047292E0,-5.786636671E-1,1.055015751E0,-5.452645540E-2
3.800117292E0,-5.525892149E-1,1.202039604E0,6.810895264E-2
3.810187833E0,-4.705813941E-1,1.290420853E0,5.422123075E-2
3.820257833E0,-3.384605963E-1,1.406646836E0,9.236086428E-2
3.830327833E0,-1.932835506E-1,1.555404972E0,1.760608327E-1
3.840397833E0,-2.376573393E-2,1.611315463E0,3.453745633E-1
3.850467833E0,1.687494012E-1,1.527306469E0,3.739364576E-1
3.860537833E0,3.560275324E-1,1.300488296E0,4.659494126E-1
3.870607833E0,5.110914889E-1,1.123046351E0,7.106635737E-1
3.880677833E0,6.416637978E-1,9.398519155E-1,8.778898484E-1
3.890747833E0,7.320287150E-1,7.285697946E-1,1.167303634E0
3.900817833E0,7.338480762E-1,4.979746127E-1,1.551529437E0
3.910887833E0,6.465773593E-1,2.201017687E-1,1.893430170E0
3.920957833E0,5.125381631E-1,4.715837896E-2,2.079211414E0
3.931027833E0,4.308909693E-1,-5.408499062E-2,2.092893314E0
